Label:, CH2: Power Spectrum
DateTime:, Wed Jan  1 00:08:23 2003
DataKind:, CH2, PowerSpec, Mag
DataPoints:, 802
DataCalc:
Frequency:, 0.000 , 1600.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH2):, 10.000, dBVrms
EU/V(CH2):, 1.000E+00
Window(CH2):, Hann
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms
0.00000000E+00, -5.93769423E+01
2.00000000E+00, -5.06882719E+01
4.00000000E+00, -4.95192960E+01
6.00000000E+00, -4.06693166E+01
8.00000000E+00, -2.92907897E+01
1.00000000E+01, -1.61840926E+00
1.20000000E+01, 2.88371261E+00
1.40000000E+01, -4.75614306E+00
1.60000000E+01, -3.30667056E+01
1.80000000E+01, -4.42858167E+01
2.00000000E+01, -5.19266917E+01
2.20000000E+01, -5.64128195E+01
2.40000000E+01, -4.94069484E+01
2.60000000E+01, -6.24794505E+01
2.80000000E+01, -7.28079961E+01
3.00000000E+01, -7.44100532E+01
3.20000000E+01, -6.77382314E+01
3.40000000E+01, -5.47278664E+01
3.60000000E+01, -5.22282229E+01
3.80000000E+01, -6.39749889E+01
4.00000000E+01, -8.55034621E+01
4.20000000E+01, -8.16957109E+01
4.40000000E+01, -7.48701666E+01
4.60000000E+01, -5.98928145E+01
4.80000000E+01, -5.95972182E+01
5.00000000E+01, -7.18362056E+01
5.20000000E+01, -7.87922205E+01
5.40000000E+01, -8.28290079E+01
5.60000000E+01, -7.28548414E+01
5.80000000E+01, -6.58446509E+01
6.00000000E+01, -6.98284078E+01
6.20000000E+01, -8.75065820E+01
6.40000000E+01, -7.78317020E+01
6.60000000E+01, -8.42069052E+01
6.80000000E+01, -7.23786524E+01
7.00000000E+01, -6.22965339E+01
7.20000000E+01, -6.46675538E+01
7.40000000E+01, -8.07722451E+01
7.60000000E+01, -7.34849216E+01
7.80000000E+01, -8.19826275E+01
8.00000000E+01, -7.71184708E+01
8.20000000E+01, -6.85696058E+01
8.40000000E+01, -7.13745325E+01
8.60000000E+01, -7.85983486E+01
8.80000000E+01, -7.48818224E+01
9.00000000E+01, -8.57591063E+01
9.20000000E+01, -7.26849905E+01
9.40000000E+01, -6.41330918E+01
9.60000000E+01, -6.73990496E+01
9.80000000E+01, -7.91939244E+01
1.00000000E+02, -7.93517469E+01
1.02000000E+02, -8.60445484E+01
1.04000000E+02, -7.80933781E+01
1.06000000E+02, -6.76003051E+01
1.08000000E+02, -7.32289151E+01
1.10000000E+02, -7.99583302E+01
1.12000000E+02, -8.67131198E+01
1.14000000E+02, -8.38243737E+01
1.16000000E+02, -8.37676661E+01
1.18000000E+02, -7.44373450E+01
1.20000000E+02, -7.72552761E+01
1.22000000E+02, -8.20688190E+01
1.24000000E+02, -8.04417242E+01
1.26000000E+02, -8.39937209E+01
1.28000000E+02, -7.41921661E+01
1.30000000E+02, -7.13713496E+01
1.32000000E+02, -8.10412175E+01
1.34000000E+02, -8.20039120E+01
1.36000000E+02, -8.61314535E+01
1.38000000E+02, -8.82985926E+01
