Label:, CH1: Time
DateTime:, Wed Jan  1 00:07:20 2003
DataKind:, CH1, Time, Real
DataPoints:, 2048
DataCalc:
Frequency:, 0.000 , 1600.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH1):, 10.000, dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:
0.00000000E+00, 7.03210771E-01
2.44140625E-04, 6.98501408E-01
4.88281250E-04, 6.93391621E-01
7.32421875E-04, 6.88620508E-01
9.76562500E-04, 6.83015406E-01
1.22070312E-03, 6.77407146E-01
1.46484375E-03, 6.71354353E-01
1.70898438E-03, 6.64717555E-01
1.95312500E-03, 6.58099890E-01
2.19726562E-03, 6.51609719E-01
2.44140625E-03, 6.44684970E-01
2.68554688E-03, 6.36825740E-01
2.92968750E-03, 6.29702985E-01
3.17382812E-03, 6.21448696E-01
3.41796875E-03, 6.13782644E-01
3.66210938E-03, 6.05280101E-01
3.90625000E-03, 5.97269297E-01
4.15039062E-03, 5.87758839E-01
4.39453125E-03, 5.79608083E-01
4.63867188E-03, 5.70006073E-01
4.88281250E-03, 5.61553478E-01
5.12695312E-03, 5.52285492E-01
5.37109375E-03, 5.43629527E-01
5.61523438E-03, 5.34109533E-01
5.85937500E-03, 5.24297595E-01
6.10351562E-03, 5.14006734E-01
6.34765625E-03, 5.04655480E-01
6.59179688E-03, 4.95336205E-01
6.83593750E-03, 4.85395700E-01
7.08007812E-03, 4.75043833E-01
7.32421875E-03, 4.63939428E-01
7.56835938E-03, 4.54626799E-01
7.81250000E-03, 4.43594098E-01
8.05664062E-03, 4.32962239E-01
8.30078125E-03, 4.21818823E-01
8.54492188E-03, 4.11930591E-01
8.78906250E-03, 4.00497615E-01
9.03320312E-03, 3.90197366E-01
9.27734375E-03, 3.78148735E-01
9.52148438E-03, 3.67197245E-01
9.76562500E-03, 3.54927331E-01
1.00097656E-02, 3.43931705E-01
1.02539062E-02, 3.31179887E-01
1.04980469E-02, 3.19447994E-01
1.07421875E-02, 3.06710899E-01
1.09863281E-02, 2.94790477E-01
1.12304688E-02, 2.82038838E-01
1.14746094E-02, 2.69034028E-01
1.17187500E-02, 2.56183624E-01
1.19628906E-02, 2.42951483E-01
1.22070312E-02, 2.30457798E-01
1.24511719E-02, 2.16289982E-01
1.26953125E-02, 2.04144359E-01
1.29394531E-02, 1.90361232E-01
1.31835938E-02, 1.77757204E-01
1.34277344E-02, 1.64003789E-01
1.36718750E-02, 1.51552483E-01
1.39160156E-02, 1.37350067E-01
1.41601562E-02, 1.23938762E-01
1.44042969E-02, 1.09194435E-01
1.46484375E-02, 9.66916606E-02
1.48925781E-02, 8.13160539E-02
1.51367188E-02, 6.83022365E-02
1.53808594E-02, 5.40622324E-02
1.56250000E-02, 4.10346985E-02
