Label:, CH2: Power Spectrum
DateTime:, Wed Jan  1 00:05:34 2003
DataKind:, CH2, PowerSpec, Mag
DataPoints:, 802
DataCalc:
Frequency:, 0.000 , 500.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH2):, 10.000, dBVrms
EU/V(CH2):, 1.000E+00
Window(CH2):, Hann
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms
0.00000000E+00, -6.46207610E+01
6.25000000E-01, -6.29517980E+01
1.25000000E+00, -5.66598468E+01
1.87500000E+00, -5.01287702E+01
2.50000000E+00, -4.16793983E+01
3.12500000E+00, -2.84941000E+01
3.75000000E+00, -2.91870548E+00
4.37500000E+00, 1.21415055E+00
5.00000000E+00, -6.83635505E+00
5.62500000E+00, -3.33223726E+01
6.25000000E+00, -4.45085023E+01
6.87500000E+00, -5.20635162E+01
7.50000000E+00, -5.63709562E+01
8.12500000E+00, -5.83461541E+01
8.75000000E+00, -5.34414790E+01
9.37500000E+00, -6.06994834E+01
1.00000000E+01, -7.20021354E+01
1.06250000E+01, -7.67795862E+01
1.12500000E+01, -7.30388804E+01
1.18750000E+01, -6.53981338E+01
1.25000000E+01, -4.86002568E+01
1.31250000E+01, -4.73772245E+01
1.37500000E+01, -6.04857670E+01
1.43750000E+01, -7.36047834E+01
1.50000000E+01, -8.64166096E+01
1.56250000E+01, -7.49666115E+01
1.62500000E+01, -7.26235691E+01
1.68750000E+01, -6.13565387E+01
1.75000000E+01, -6.26135091E+01
1.81250000E+01, -8.35475890E+01
1.87500000E+01, -8.09334660E+01
1.93750000E+01, -8.72071833E+01
2.00000000E+01, -8.53198952E+01
2.06250000E+01, -8.17798339E+01
2.12500000E+01, -7.01898533E+01
2.18750000E+01, -7.13488811E+01
2.25000000E+01, -9.51541602E+01
2.31250000E+01, -8.42407724E+01
2.37500000E+01, -8.79064505E+01
2.43750000E+01, -8.22976694E+01
